"DESCRIPTION_RPA"|"CODE_RPA"
"PRE-SIGNAL ZONE SCOLAIRE (PASSAGE D'ECOLIERS)"|"PA-W"
"PRE-SIGNAL ZONE SCOLAIRE + GRAND (PASSAGE D'ECOLIERS)"|"PA-W-10"
"PRE-SIGNAL ZONE SCOLAIRE COULEUR JAUNE FLUO"|"PA-W-FL"
"PRE-SIGNAL ZONE SCOLAIRE COULEUR JAUNE FLUO"|"PA-W-FL-10"
"PRE-SIGNAL ZONE SCOLAIRE + GRAND (PASSAGE D'ECOLIERS) COULEUR FLUO"|"PA-W-FL10"
"PRE-SIGNAL ZONE SCOLAIRE (PASSAGE D'ECOLIERS)"|"PA-X"
"PRE-SIGNAL ZONE D'AVEUGLES POUR PLACER A DROITE"|"PA-X-1"
"PRE-SIGNAL ZONE D'AVEUGLES POUR PLACER A GAUCHE"|"PA-X-2"
"PRE-SIGNAL ZONE SCOLAIRE COULEUR FLUO"|"PA-X-FL"
"PRE-SIGNAL ZONE SCOLAIRE COULEUR JAUNE FLUO"|"PA-X-FL-10"
"PRE-SIGNAL ZONE SCOLAIRE + GRAND (PASSAGE D'ECOLIERS)"|"PA-X-FL10"
"ZONE SCOLAIRE (JAUNE FLUO) (venant de la gauche) (600x600)"|"PA-Y-FL"
"ZONE SCOLAIRE (JAUNE FLUO) (venant de la gauche) (750x750)"|"PA-Y-FL-10"
"PASSAGE ECOLIERS"|"PB-A-1"
"PASSAGE ECOLIERS"|"PB-A-2"
"PASSAGE ECOLIERS AERIEN"|"PB-AA"
"PASSAGE PIETONS AERIEN"|"PB-AB"
"PASSAGE ENFANTS (TERRAIN DE JEUX) AERIEN"|"PB-AC"
"PASSAGE PIETONS ET CYCLISTES AERIEN"|"PB-AF"
"PASSAGE PIETONS"|"PB-B-1"
"PASSAGE PIETONS"|"PB-B-2"
"ANNULE PASSAGE PIETONS AERIEN"|"PB-B-3"
"PASSAGE TERRAIN DE JEUX"|"PB-C-1"
"PASSAGE TERRAIN DE JEUX"|"PB-C-2"
"PASSAGE POUR PIETONS ET CYCLISTES"|"PB-E-1"
"PASSAGE POUR PIETONS ET CYCLISTES"|"PB-E-2"
"ANNULE       (PASSAGE DE CAMIONS)"|"PB-F-1"
"PASSAGE D'HANDICAPES"|"PB-H-1"
"PASSAGE D'HANDICAPES"|"PB-H-2"
"P 02h 09h-21h SAMEDI ET DIMANCHE"|"PB-JA"
"P 15 min. 09h-15h MAR. MER."|"PB-JB"
"P 60 min. 09h-17h LUNDI ET JEUDI"|"PB-JC"
"P 2h 09h-17h MAR ET VEN"|"PB-JD"
"PASSAGE DE SOURDS"|"PB-S-1"
"PASSAGE DE SOURDS"|"PB-S-2"
"ANNULE          (PASSAGE D'AVEUGLES)"|"PB-V-1"
"PASSAGE D'AVEUGLES POUR PLACER A DROITE"|"PB-X-1"
"PASSAGE D'AVEUGLES POUR PLACER A GAUCHE"|"PB-X-2"
"AUTOCOL. H.D'USAGE L. MAR. MER. SAM. 09h-18h JEU. VEN."|"PC-AA"
"AUTOCOL. H.D'USAGE L. MAR. MER. SAM. 09h30-18h JEU. V."|"PC-AB"
"AUTOCOL. \P 8h30-9h30 LUN ET JEU 1 MARS AU 1 DEC."|"PC-AP"
"AUTOCOL. H.D'USAGE 07h-22h"|"PC-BA"
"P 03h LUN ET MAR  JEU ET VEN"|"PC-TA"
"P STAT. A 45 cm DE LA BORDURE - 1er MARS 1er DEC."|"PD-AC"
"P STAT. A 45 cm DE LA BORDURE - 15 AVRIL AU 1er NOV."|"PD-AD"
"P STAT. A 45 cm DE LA BORDURE - 1er AVRIL AU 1er DEC."|"PD-AD-A"
"P 15 min RESERVE AUTOBUS"|"PD-DA"
"ANNULE P DEBARCADERE SEULEMENT (REMPLACE PAR PD-DU)"|"PD-DS"
"P 15 min"|"PD-DT"
"P DEBARCADERE"|"PD-DU"
"P DEBARCADERE 7h-18h30"|"PD-DV"
"P 60 min 9h30-18h00"|"PD-JA"
"P 15 min 12h-16h SAM. DIM."|"PD-JB"
"P 02h 09h-20h"|"PD-JC"
"P 02h 09h-21h"|"PD-JD"
"P 02h 09h-18h"|"PD-JE"
"P 02h 08h-19h"|"PD-JF"
"P 60 min 09h-21h"|"PD-JG"
"P 15 min 09h-21h"|"PD-JH"
"P 02h 09h30-18h"|"PD-JI"
"P 15 min.  7h - 18h"|"PD-JJ"
"P 03h 08h-17h"|"PD-JK"
"P 15 min 07h-19h"|"PD-JL"
"P 15 min 07h-22h"|"PD-JM"
"P 2h 9h-23h"|"PD-JN"
"P 19h-08h"|"PD-NA"
"P RESERVE 21h-08h VEHICULES MUNIS D'UN PERMIS S3R"|"PD-NB"
"P 02h 08h-18h"|"PD-OD"
"P 60 min 12h-19h"|"PD-PA"
"P 60 min 13h-16h"|"PD-PC"
"P VELO"|"PD-RC"
"P A ANGLE"|"PD-TA"
"P 02h"|"PD-TB"
"P 15 MIN. RESERVE HOTEL"|"PD-TD"
"P EN FILE"|"PD-TF"
"P 04h"|"PD-TQ"
"P 03h"|"PD-TR"
"ANNULE - REMPLACÉ PAR PD-DT"|"PD-TS"
"P 60 min"|"PD-TT"
"PRESSEZ LE BOUTON..."|"PE-AA"
"ATTENDRE AVANT DE TRAVERSER..."|"PE-AB"
"ATTENDRE AVANT DE TRAVERSER... (AUTOCOLLANT)"|"PE-AB-A"
"ATTENDRE AVANT DE TRAVERSER..."|"PE-AC"
"ATTENDRE AVANT DE TRAVERSER... (AUTOCOLLANT)"|"PE-AC-A"
"CEDEZ AUX PIETONS"|"PE-AD"
"BOUTON D'APPEL POUR PIETONS"|"PE-AI"
"BOUTON D'APPEL POUR PIETONS (FLECHE GAUCHE)"|"PE-AJ"
"BOUTON D'APPEL POUR PIETONS (FLECHE DROITE)"|"PE-AK"
"TRAVERSE EN 2 TEMPS APPUYEZ ET ATTENDEZ"|"PE-AR"
"P 15 MIN. 07h30-16h JOURS D`ECOLE"|"PE-JA"
"P 15 MIN. 07h30-17h JOURS D`ECOLE"|"PE-JB"
"P 15 MIN. 07h30-17h30 JOURS D'ECOLE"|"PE-JC"
"P 15 MIN. 7h-18h JOURS D'ECOLE"|"PE-JD"
"P DEBARCADERE 7h30 - 16h JOURS D'ECOLE"|"PE-JE"
"P 15 min 07h30-09h ET 14h30-18h JOURS D'ECOLE"|"PE-JF"
"P 15 MIN 07h-16h JOURS D'ECOLE"|"PE-JG"
"P 15 min 07h-09h ET 14h-18h JOURS D'ECOLE"|"PE-JH"
"P 15 min 07h-09h ET 15h-18h JOURS D'ECOLE"|"PE-JI"
"P 15 min 07h-09h LUN A VEN SEPT. A JUIN"|"PE-JK"
"P 15 min 08h-17h LUN A VEN SEPT. A JUIN"|"PE-JL"
"P 15 min 07h-09 ET 14h-18h LUN A VEN SEPT. A JUIN"|"PE-JN"
"P 15 min 07h-09 ET 15h-18h LUN A VEN SEPT. A JUIN"|"PE-JO"
"P 15 min 08h-09 ET 15h-16h LUN A VEN SEPT. A JUIN"|"PE-JP"
"P 15 MIN. 7h-8h30 ET 15h-18h   JOURS D'ECOLE"|"PE-QC"
"P 15 min 08h-13h ET 15h-18h LUN A VEN SEPT. A JUIN"|"PE-QD"
"P 15 min 07h-09h30 ET 15h-18h LUN A VEN SEPT. A JUIN"|"PE-QE"
"SYMBOLE DE CHAISE ROULANTE"|"PF-D"
"PARCOMETRE GRATUIT POUR DETENTEUR DE PERMIS SRRR"|"PG-DP"
"STATIONNEMENT RESERVE"|"PH-TB"
"SYMBOLE DE O.T., OPERATION TANDEM, MACLE DE MTL, MTL"|"PO-A"
"HORAIRE DE STATIONNEMENT TARIFE (PARCOFLEX)"|"PP-AA"
"HORAIRE DE STATIONNEMENT TARIFE 7h-22h"|"PP-AJ"
"STATIONNEMENT TARIFÉ"|"PP-AQ"
"HORAIRE DE STATIONNEMENT TARIFE 09h-18h LUN A VEN (PARCOJOUR)"|"PP-QA"
"50m (JAUNE)"|"PR-050"
"100m (JAUNE)"|"PR-100"
"200m (JAUNE)"|"PR-200"
"500m (JAUNE)"|"PR-500"
"\A 6h30-9h30 LUN A VEN ET \P 18h-24h LUN A VEN (AUTOCOLLANT POUR TETE DE PARCOMETRE) "|"PR-DI"
"P 60 min 09h-18h LUN. MAR. MER. SAM. 09h-21h JEU. VEN."|"PS-AA"
"P 60 min 09h30-23h"|"PS-AB"
"P 15 min 09h-18h LUN A SAM"|"PS-DA"
"P 15 MIN 8h-18h LUN A SAM"|"PS-DB"
"P 15 min 08h30-19h LUN AU SAM"|"PS-DC"
"P 60 min 09h30-15h LUN. AU SAM."|"PS-DG"
"P 60 min 09h-19h LUN. AU SAM."|"PS-JA"
"P 60 min 10h30-15h30 LUN. AU SAM."|"PS-JB"
"P 60 min 07h-19h LUN. AU SAM."|"PS-JC"
"P 60 min 08h-19h LUN. AU SAM."|"PS-JE"
"P 60 min 08h-18h LUN. AU SAM."|"PS-JF"
"P 60 min 09h-16h LUN. AU SAM."|"PS-JG"
"P 15 min 07h-18h LUN. A SAM."|"PS-JI"
"P 02h 08h-15h30 LUN. AU SAM."|"PS-JJ"
"P 02h 09h30-18h LUN. AU SAM."|"PS-JK"
"P 02h 09h-16h LUN. AU SAM."|"PS-JL"
"P 02h 09h30-15h LUN A SAM"|"PS-JM"
"P 60 min 09h-18h LUN.AU SAM."|"PS-JN"
"P 60 min 09h30-14h30 LUN A SAM"|"PS-JP"
"P 15 min 09h30-18h LUN A SAM"|"PS-JQ"
"P 60 min 09h30-16h LUN. AU SAM."|"PS-JR"
"P 2h 12h-15h30 LUN A SAM"|"PS-JS"
"P 60 min 09h30-18h LUN. AU SAM."|"PS-JT"
"P 60 min 09h-15h LUN. AU SAM."|"PS-JU"
"P 60 min 10h30-14h30 LUN A SAM"|"PS-JV"
"P 60 min 09h30-14h LUN A SAM"|"PS-JW"
"P 60 min 12h-16h LUN A SAM"|"PS-JX"
"P 02h 09h-15h30 LUN A SAM"|"PS-JY"
"P 60 min 08h30-18h"|"PS-JZ"
"PARENTS SECOURS"|"PS-M"
"P 60 min 10h30-18h LUN. AU SAM."|"PS-OB"
"P 60 min 09h30-15h30 LUN. AU SAM."|"PS-OG"
"P 60 min 09h-17h LUN. AU SAM."|"PS-OP"
"P 60 min 10h-18h LUN. AU SAM."|"PS-OR"
"P 02h 09h-18h LUN. AU SAM."|"PS-PB"
"P 15 MIN 14h-19h LUN A SAM"|"PS-PC"
"P 4h 9h-23h LUN AU SAM"|"PS-PD"
"P 60 min. 09h-17h MARDI, MERCREDI ET VENDREDI"|"PT-JA"
"P 2h 09h-17h LUN ET MER ET JEU"|"PT-JD"
"P 60 min 09h-17h LUN. MER. JEU."|"PT-JK"
"P 60 MIN 09h-17h JEUDI"|"PU-JA"
"P 03h 07h-18h MER"|"PU-TA"
"P 60 min 08h-12h LUN A VEN"|"PV-AB"
"P 15 min 08h-17h LUN. AU VEN."|"PV-DA"
"P 15 min 07h-18h LUN. AU VEN."|"PV-DB"
"P 15 min 15h30-18h LUN. AU VEN."|"PV-DC"
"P 15 min 09h30-17h LUN. AU VEN."|"PV-DD"
"P 15 min 08h-15h30 LUN. AU VEN."|"PV-DE"
"P 15 min 09h-16h LUN. AU VEN."|"PV-DF"
"P 15 min 09h-19h LUN A VEN"|"PV-DH"
"P 15 min 08h-18h LUN A VEN"|"PV-DI"
"P 15 min 08h-10h ET 16h-18h LUN A VEN"|"PV-DJ"
"P 15 min 07h-18h30 LUN A VEN"|"PV-DK"
"P DEBARCADERE 07h-18h LUN A VEN"|"PV-DL"
"P 15 min 7h-9h30 LUN A VEN"|"PV-DM"
"P 15 MIN 07h-16h LUN A VEN"|"PV-DN"
"P 15 MIN 15h-18h LUN A VEN"|"PV-DO"
"P 15 min 07h-19h LUN AU VEN"|"PV-DP"
"P 15 min 07h-21h30 LUN A VEN"|"PV-DQ"
"P 15 min 7h-10h30 LUN A VEN"|"PV-DR"
"P 15 min 07h-09h30 LUN A VEN GARDERIE SEULEMENT"|"PV-DS"
"P DEBARCADERE 06h-09h LUN A VEN"|"PV-DT"
"P 60 min 09h-15h LUN. AU VEN."|"PV-JA"
"P 15 min 07h-09h 16h-18h LUN. AU VEN."|"PV-JB"
"P 15 min 09h-18h LUN. AU VEN."|"PV-JC"
"P 60 min 10h-15h LUN. AU VEN."|"PV-JD"
"P 60 min 08h-19h LUN. AU VEN."|"PV-JE"
"P 60 min 08h-18h LUN. AU VEN."|"PV-JF"
"P 60 min 09h-16h LUN. AU VEN."|"PV-JG"
"P 60 min 10h30-15h30 LUN. AU VEN."|"PV-JH"
"P 02h 09h30-18h LUN. AU VEN."|"PV-JI"
"P 02h 08h-18h LUN. AU VEN."|"PV-JK"
"P 02h 08h-19h LUN. AU VEN."|"PV-JL"
"P 02h 12h-18h LUN. AU VEN."|"PV-JM"
"P 60 min 09h-18h LUN.AU VEN."|"PV-JN"
"P 02h 08h-16h LUN. AU VEN."|"PV-JO"
"P 02h 09h30 A 15h30 LUN. AU VEN."|"PV-JP"
"P 15 min 14h30-21h LUN AU VEN ECOLE SEULEMENT"|"PV-JQ"
"P 60 min 09h30-16h LUN. AU VEN."|"PV-JR"
"P 02h 12h-18h LUN A VEN"|"PV-JS"
"P 60 min 09h30-18h LUN. AU VEN."|"PV-JT"
"P 60 min 09h-15h30 LUN. AU VEN."|"PV-JU"
"P 02h 09h30-17h30 LUN. AU VEN."|"PV-JV"
"P 02h 8h-17h LUN A VEN"|"PV-JW"
"P 02h 9h30-16h LUN A VEN"|"PV-JX"
"P 15 min 07h-09h ET 12h-14h LUN A VEN"|"PV-JY"
"P 02h 10h-17h LUN A VEN"|"PV-JZ"
"P 60 min 08h-16h LUN A VEN"|"PV-KA"
"P 02h 09h-17h LUN A VEN"|"PV-OB"
"P 60 min 09h30-17h LUN A VEN"|"PV-OC"
"P 60 min 09h-17h LUN A VEN"|"PV-OF"
"P 60 min 09h30-15h30 LUN. AU VEN."|"PV-OG"
"P 02 h 09h30-17h LUN A VEN"|"PV-OH"
"P 15 min 08h-15h LUN. A VEN."|"PV-OI"
"P 60 min 09h-14h LUN. A VEN."|"PV-OJ"
"P 15 min 09h-17h LUN. A VEN."|"PV-OL"
"P 60 min 10h-18h LUN. AU VEN."|"PV-OR"
"P 60 min 9h-21h LUN A VEN"|"PV-OS"
"P 60 min 7h-18h LUN A VEN"|"PV-OT"
"P 60 min 09h30-14h30 LUN A VEN"|"PV-OV"
"P 60 min 11h30-19h LUN. AU VEN."|"PV-PA"
"P 02h 09h-18h LUN. AU VEN."|"PV-PB"
"P 60 min 12h-16h LUN A VEN"|"PV-PC"
"P 15 min 07h30-9h ET 14h30-16h30 LUN. AU VEN."|"PV-QA"
"P 15 MIN 07h-10h ET 15h30-18h LUN A VEN"|"PV-QB"
"P 15 min 07h-09h30 ET 15h30-18h LUN. AU VEN"|"PV-QC"
"P 15 MIN 07h30-09h30 ET 15h30-18h LUN A VEN"|"PV-QD"
"P 15 MIN 07h-09h30 ET 15h-18h LUN A VEN"|"PV-QE"
"P 15 MIN  8h-9h ET 14h30-15h30 LUN A VEN"|"PV-QF"
"P 15 MIN   7h-9h30 ET 15h-18h  LUN A VEN  GARDERIE SEULEMENT"|"PV-QG"
"P 15 MIN 07h-09h30 ET 15h-16h LUN A VEN GARDERIE SEULEMENT"|"PV-QH"
"P 15 MIN 07h30-09h ET 16h-18h 30 LUN A VEN GARDERIE SEULEMENT"|"PV-QI"
"P 15 MIN 08H-10H ET 15H-16H30 LUN A VEN"|"PV-QJ"
"P 15 MIN 09h-10h ET 15h-18h LUN A VEN GARDERIE SEULEMENT"|"PV-QK"
"P 15 MIN 07h-09h ET 15h-18h LUN A VEN"|"PV-QL"
"P 15 min 07h-10h ET 15h-18h LUN A VEN"|"PV-QM"
"PANONCEAU 08h-17h LUN. AU VEN."|"PX-AA"
"PANONCEAU 1 AVRIL AU 15 OCT."|"PX-AB"
"PANONCEAU 1 DEC. AU 1 MARS"|"PX-AC"
"PANONCEAU 1 AVRIL AU 1 DEC."|"PX-AD"
"PANONCEAU EXCEPTE AUTOBUS SCOLAIRE"|"PX-AE"
"PANONCEAU 15 AVRIL AU 1 NOV."|"PX-AF"
"PANONCEAU 1 AVRIL AU 31 OCT."|"PX-AG"
"PANONCEAU 1 NOVEMBRE AU 15 AVRIL"|"PX-AH"
"PANONCEAU 1 DEC. AU 1 AVRIL"|"PX-AI"
"PANONCEAU 15 MARS AU 15 NOV."|"PX-AJ"
"PANONCEAU 15 AVRIL AU 1er DEC."|"PX-AK"
"PANONCEAU 15 MAI AU 15 OCT."|"PX-AL"
"PANONCEAU 15 NOV. AU 15 MARS"|"PX-AM"
"PANONCEAU 1 JAN. AU 31 DEC."|"PX-AO"
"PANONCEAU PARKING NO... RENSEIGNEMENTS 872-5989"|"PX-AP"
"PANONCEAU DEBAR. AUTOBUS SCOLAIRE"|"PX-AS"
"PANONCEAU  DETENTION SEULEMENT"|"PX-AT"
"PANONCEAU MAXIMUM 15 min"|"PX-AU"
"PANONCEAU DE STATIONNEMENT (EXCEPTE VEH DE LA STM)"|"PX-AV"
"PANONCEAU 20 AOÛT AU 30 JUIN"|"PX-AX"
"PANONCEAU 1 AVRIL AU 15 NOV."|"PX-AY"
"PANONCEAU 15 NOV. AU 1 AVRIL"|"PX-AZ"
"PANONCEAU 1 MAI AU 1 OCT."|"PX-BD"
"PANONCEAU CAMIONS"|"PX-CM"
"PANONCEAU CAMIONS SEULEMENT"|"PX-CS"
"PANONCEAU 09h-17h DIMANCHE"|"PX-DS"
"PANONCEAU NOIR - EXCEPTE 9h-16h LUNDI ET JEUDI"|"PX-EA"
"PANONCEAU NOIR - EXCEPTE 9h-17h MERCREDI"|"PX-EB"
"PANONCEAU NOIR - EXCEPTE 9h-17h JEUDI"|"PX-EF"
"PANONCEAU - EXCEPTE 09h-17h VENDREDI"|"PX-EG"
"PANONCEAU NOIR EXCEPTE 16h-19h MAR ET VEN"|"PX-EH"
"PANONCEAU NOIR - EXCEPTE 9h-17h LUNDI ET JEUDI"|"PX-EJ"
"EXCEPTE 9h-21h LUN."|"PX-EK"
"PANONCEAU NOIR - EXCEPTE 9h-17h LUNDI "|"PX-EL"
"PANONCEAU NOIR - EXCEPTE 9h-17h MARDI "|"PX-EM"
"PANONCEAU EXCEPTE DEBARCADERE GARDERIE 15 MINUTES"|"PX-ES"
"PANONCEAU EXCEPTE TITULAIRE DE PERMIS"|"PX-ET"
"PANONCEAU RESERVE GARDERIE"|"PX-EU"
"PANONCEAU NOIR - EXCEPTE 9h-17h MARDI  ET VENDREDI"|"PX-EV"
"PANONCEAU EXCEPTE 07h-19h LUNDI 1 MARS AU 1 DEC."|"PX-EX"
"PANONCEAU EXCEPTE 07h-19h JEUDI 1 MARS AU 1 DEC."|"PX-EY"
"PANONCEAU NOIR EXCEPTE 08h-18h LUNDI"|"PX-FB"
"PANONCEAU NOIR EXCEPTE 8h - 14h  DIMANCHE"|"PX-FC"
"PANONCEAU NOIR EXCEPTE 5h-8h LUN ET JEU"|"PX-FL"
"PANONCEAU NOIR EXCEPTE 05h-08h MAR ET VEN"|"PX-FM"
"PANONCEAU RESERVE HANDICAPE"|"PX-HC"
"PANONCEAU DEBARCADERE RESERVE HANDICAPE"|"PX-HD"
"PANONCEAU 09h00 @ 17h00"|"PX-JA"
"PANONCEAU 09h30-18h LUN. MAR. MERC. SAM. 09h30-21h JEU."|"PX-JB"
"PANONCEAU 09h-21h"|"PX-JC"
"PANONCEAU 09h-19h"|"PX-JD"
"PANONCEAU ""JOURS D'ECOLE"""|"PX-JE"
"PANONCEAU 09h30-20h"|"PX-JF"
"PANONCEAU 15h30-24h"|"PX-JG"
"PANONCEAU 18h-24h"|"PX-JH"
"PANONCEAU 06h-09h LUN A VEN"|"PX-JI"
"PANONCEAU 08h-16h LUN A VEN"|"PX-JJ"
"PANONCEAU 08h-22h"|"PX-JK"
"PANONCEAU EXCEPTE 09h-17h JEUDI 1 AVRIL AU 1 DEC"|"PX-JL"
"PANONCEAU 07h-22h30"|"PX-JM"
"PANONCEAU 09h-16h LUN A VEN"|"PX-JN"
"PANONCEAU 1 JUIN AU 1 OCT."|"PX-JO"
"PANONCEAU 08h-20h"|"PX-JP"
"PANONCEAU 09h30-16h"|"PX-JQ"
"PANONCEAU 07h-17h LUN. AU SAM."|"PX-JR"
"PANONCEAU 07h-18h LUN A VEN"|"PX-JS"
"PANONCEAU 10h-24h"|"PX-JT"
"PANONCEAU 12h - 24h"|"PX-JV"
"PANONCEAU 15h - 18h"|"PX-JW"
"PANONCEAU EXCEPTE USAGERS DE L'ARENA"|"PX-JY"
"PANONCEAU EXCEPTE 09h-17h LUNDI 1 AVRIL AU 1 DEC"|"PX-JZ"
"PANONCEAU 07h-15h LUN A VEN"|"PX-KA"
"PANONCEAU SAMEDI DIMANCHE"|"PX-LA"
"PANONCEAU  DIMANCHE"|"PX-LB"
"PANONCEAU LUN. AU SAM."|"PX-LS"
"PANONCEAU LUN. AU VEN."|"PX-LV"
"PANONCEAU 1 MARS AU 1 DEC."|"PX-MD"
"PANONCEAU 1 MAI AU 1 NOV."|"PX-MN"
"PANONCEAU 1 NOV. AU 1 MAI"|"PX-MO"
"PANONCEAU 1 SEPT. AU 30 JUIN"|"PX-MP"
"PANONCEAU PERMIS VALIDE EN PERIODE DE DENEIGEMENT"|"PX-NB"
"PANONCEAU ""DEUX COTES"""|"PX-PA"
"PANONCEAU EXCEPTE TAXIS"|"PX-PB"
"PANONCEAU DEBAR. SEULEMENT"|"PX-PD"
"PANONCEAU FLECHE A GAUCHE"|"PX-PF"
"PANONCEAU EXCEPTE PERIODE INTERDITE"|"PX-PH"
"PANONCEAU PARCOMETRES INCLUS"|"PX-PI"
"PANONCEAU LIVRAISON SEULEMENT"|"PX-PL"
"PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS"|"PX-PR"
"PANONCEAU EXCEPTE VEHICULES MUNIS D'IN PERMIS (2 SECTEURS)"|"PX-PR-2S"
"PANONCEAU RESERVE DETENTEUR DE PERMIS DE RESIDANTS"|"PX-PS"
"PANONCEAU RESERVE VEHICULES MUNIS D'UN PERMIS (2 SECTEURS)"|"PX-PS-2S"
"PANONCEAU LORSQUE STATIONNEMENT PERMIS-PETITES VOITURES"|"PX-PV"
"PANONCEAU STAT. A ANGLE - LIGNE AU SOL A RESPECTER"|"PX-PW"
"PANONCEAU PERMIS EN DOUBLE FILE"|"PX-PX"
"PANONCEAU EXCEPTE VEHICULES MUNIS D'UN PERMIS"|"PX-PY"
"PANONCEAU 11h-07h"|"PX-QA"
"PANONCEAU EXCEPTE AUTOBUS"|"PX-SA"
"PANONCEAU TAXIS INCLUS"|"PX-TI"
"PANONCEAU EXCEPTE  09-17h MER. 15 MARS AU 15 NOV."|"PX-UB"
"PANONCEAU EXCEPTE 9h-17h MERCREDI, DU 1ER AVRIL AU 1ER DECEMBRE"|"PX-UC-A"
"PANONCEAU MERCREDI"|"PX-UF"
"PANONCEAU LUNDI"|"PX-UG"
"PANONCEAU ZONE DE REMORQUAGE"|"PX-ZT"
"RUE BARREE, ECOLIERS EN RECREATION"|"PZ-D"
"\P RESERVE AUTOBUS TOURISTIQUES 2h"|"R-AL"
"\P RESERVE AUTOBUS TOURISTIQUES 15 min."|"R-AM"
"\P RESERVE AUTOBUS TOURISTIQUES 07h-09h 01/05 AU 01/10"|"R-AQ"
"\P RESERVE AIRE D'ATTENTE"|"R-AR"
"\P RESERVE AUTOBUS 8h00 A 21h00"|"R-AS"
"\P RESERVE AUTOBUS TOURISTIQUES"|"R-AT"
"\P RESERVE AUTOBUS"|"R-AU"
"\P EXCEPTE DEBARCADERE AUTOBUS TOURISTIQUE"|"R-AW"
"\P EXCEPTE AIRE D'EMBARQUEMENT AUTOBUS TOURISTIQUES"|"R-AY"
"P RESERVE AUTOBUS TOURISTIQUE - AIRE D'ATTENTE 60 min de 8h-18h ET 2H de 18h-24h"|"R-AZ"
"\P RESERVE BIBLIOBUS 18h-21h MAR."|"R-BA"
"\P 13h-18h30 JEUDI EXCEPTE BIBLIOBUS"|"R-BA-A"
"\P RESERVE BIBLIOBUS 18h-21h JEU."|"R-BH"
"\P RESERVE BIBLIOBUS 10h-12h SAM."|"R-BO"
"\P RESERVE BIBLIOBUS 14h-18h30 MARDI"|"R-BQ"
"\P RESERVE BIBLIOBUS 14h-16h LUNDI"|"R-BT"
"/P 14h-18h30 VENDREDI EXCEPTE BIBLIOBUS"|"R-BV"
"/P 14h-18h30 JEUDI EXCEPTE BIBLIOBUS"|"R-BW"
"\P STATIONNEMENT INTERDIT 14h - 18h30 MERCREDI EXCEPTE BIBLIOBUS"|"R-BX"
"\P STATIONNEMENT INTERDIT 13h-18h30 MARDI EXCEPTE BIBLIOBUS"|"R-BY"
"\P RESERVE CORPS DIPLOMATIQUE"|"R-CD"
"\P EXCEPTE CONSEILLERS MUNICIPAUX"|"R-CM"
"\P RESERVE GARDERIE 15 MIN."|"R-DG"
"\P RESERVE TITULAIRES DE PERMIS"|"R-DP"
"\P EXCEPTE TITULAIRE DE PERMIS 07h-17h LUN A VEN"|"R-DR"
"\P RESERVE EMPLOYES DE L'EDIFICE"|"R-EE"
"\P RESERVE FOURGON CELLULAIRE SPCUM"|"R-FC"
"\P RESERVE FIACRES"|"R-FI"
"ANNULE - REMPLACER PAR R-TD"|"R-HC"
"\P RESERVE LOCATAIRES DU MARCHE"|"R-LM"
"\P RESERVE MOTOS"|"R-MO"
"\P RESERVE MOTOS 01/04-01/11"|"R-MT"
"\P RESERVE S3R 14h-18h LUNDI AU VENDREDI"|"R-PA"
"\P RESERVE S3R 09h-22h"|"R-PB"
"\P RESERVE S3R 09h-21h"|"R-PD"
"\P RESERVE S3R 09h-21h  (2 SECTEURS)"|"R-PD-2S"
"\P RESERVE S3R 09h-21h LUN. AU VEN."|"R-PE"
"\P RESERVE S3R 09h-23h"|"R-PF"
"\P RESERVE S3R 09-23h       (2 SECTEURS)"|"R-PF-2S"
"\P RESERVE S3R 18h-23h"|"R-PG"
"\P RESERVE S3R 15h-09h"|"R-PH"
"\P EXCEPTE S3R 15h-09h   (2 SECTEURS)"|"R-PH-2S"
"\P RESERVE S3R 15h-21h"|"R-PI"
"\P RESERVE S3R 17h-23h"|"R-PJ"
"\P RESERVE S3R 17h-23h  (2 SECTEURS)"|"R-PJ-2S"
"\P RESERVE S3R 15h-23h"|"R-PK"
"\P RESERVE S3R 15h-23h          (2 SECTEURS)"|"R-PK-2S"
"\P RESERVE S3R 17h-21h"|"R-PL"
"\P RESERVE S3R 09h-17h LUN. ET JEU."|"R-PM"
"\P EXCEPTE S3R 09h-17h LUN ET JEU  (2 SECTEURS)"|"R-PM-2S"
"\P RESERVE SERVICE DE LA POLICE"|"R-PO"
"\P RESERVE S3R 09h30-21h"|"R-PP"
"\P RESERVE S3R 09h30-16h LUNDI AU VENDREDI"|"R-PQ"
"\P RESERVE S3R 08h30-10h LUNDI AU VENDREDI"|"R-PR"
"\P RESERVE S3R 09h30-20h LUNDI AU VENDREDI"|"R-PS"
"\P RESERVE S3R 15h30-21h LUNDI AU VENDREDI"|"R-PU"
"\P RESERVE S3R 10h30-12h00 LUNDI AU VENDREDI"|"R-PV"
"\P RESERVE S3R 15h00-18h00 LUNDI AU VENDREDI"|"R-PW"
"\P RESERVE S3R 09h30-21h00 LUNDI AU VENDREDI"|"R-PX"
"\P RESERVE S3R 09h-20h LUNDI AU SAMEDI"|"R-PY"
"\P RESERVE S3R 16h-20h LUNDI AU SAMEDI"|"R-PZ"
"\P RESERVE S3R 16h-20h LUN A SAM (2 SECTEURS)"|"R-PZ-2S"
"ANNULE  -  REMPLACE PAR R-PD-2S"|"R-QA"
