"CODE_RPA","DESCRIPTION_RPA"
"PD-TS","ANNULE - REMPLACÉ PAR PD-DT"
"PD-TT","P 60 min"
"PE-AA","PRESSEZ LE BOUTON..."
"PE-AB","ATTENDRE AVANT DE TRAVERSER..."
"PE-AB-A","ATTENDRE AVANT DE TRAVERSER... (AUTOCOLLANT)"
"PE-AC","ATTENDRE AVANT DE TRAVERSER..."
"PE-AC-A","ATTENDRE AVANT DE TRAVERSER... (AUTOCOLLANT)"
"PE-AD","CEDEZ AUX PIETONS"
"PE-AI","BOUTON D'APPEL POUR PIETONS"
"PE-AJ","BOUTON D'APPEL POUR PIETONS (FLECHE GAUCHE)"
"PE-AK","BOUTON D'APPEL POUR PIETONS (FLECHE DROITE)"
"PE-AR","TRAVERSE EN 2 TEMPS APPUYEZ ET ATTENDEZ"
"PE-JA","P 15 MIN. 07h30-16h JOURS D`ECOLE"
"PE-JB","P 15 MIN. 07h30-17h JOURS D`ECOLE"
"PE-JC","P 15 MIN. 07h30-17h30 JOURS D'ECOLE"
"PE-JD","P 15 MIN. 7h-18h JOURS D'ECOLE"
"PE-JE","P DEBARCADERE 7h30 - 16h JOURS D'ECOLE"
"PE-JF","P 15 min 07h30-09h ET 14h30-18h JOURS D'ECOLE"
"PE-JG","P 15 MIN 07h-16h JOURS D'ECOLE"
"PE-JH","P 15 min 07h-09h ET 14h-18h JOURS D'ECOLE"
"PE-JI","P 15 min 07h-09h ET 15h-18h JOURS D'ECOLE"
"PE-JK","P 15 min 07h-09h LUN A VEN SEPT. A JUIN"
"PE-JL","P 15 min 08h-17h LUN A VEN SEPT. A JUIN"
"PE-JN","P 15 min 07h-09 ET 14h-18h LUN A VEN SEPT. A JUIN"
"PE-JO","P 15 min 07h-09 ET 15h-18h LUN A VEN SEPT. A JUIN"
"PE-JP","P 15 min 08h-09 ET 15h-16h LUN A VEN SEPT. A JUIN"
"PE-QC","P 15 MIN. 7h-8h30 ET 15h-18h   JOURS D'ECOLE"
"PE-QD","P 15 min 08h-13h ET 15h-18h LUN A VEN SEPT. A JUIN"
"PE-QE","P 15 min 07h-09h30 ET 15h-18h LUN A VEN SEPT. A JUIN"
"PF-D","SYMBOLE DE CHAISE ROULANTE"
"PG-DP","PARCOMETRE GRATUIT POUR DETENTEUR DE PERMIS SRRR"
"PH-TB","STATIONNEMENT RESERVE"
"PO-A","SYMBOLE DE O.T., OPERATION TANDEM, MACLE DE MTL, MTL"
"PP-AA","HORAIRE DE STATIONNEMENT TARIFE (PARCOFLEX)"
"PP-AJ","HORAIRE DE STATIONNEMENT TARIFE 7h-22h"
"PP-AQ","STATIONNEMENT TARIFÉ"
"PP-QA","HORAIRE DE STATIONNEMENT TARIFE 09h-18h LUN A VEN (PARCOJOUR)"
"PR-050","50m (JAUNE)"
"PR-100","100m (JAUNE)"
"PR-200","200m (JAUNE)"
"PR-500","500m (JAUNE)"
"PR-DI","\A 6h30-9h30 LUN A VEN ET \P 18h-24h LUN A VEN (AUTOCOLLANT POUR TETE DE PARCOMETRE) "
"PS-AA","P 60 min 09h-18h LUN. MAR. MER. SAM. 09h-21h JEU. VEN."
"PS-AB","P 60 min 09h30-23h"
"PS-DA","P 15 min 09h-18h LUN A SAM"
"PS-DB","P 15 MIN 8h-18h LUN A SAM"
"PS-DC","P 15 min 08h30-19h LUN AU SAM"
"PS-DG","P 60 min 09h30-15h LUN. AU SAM."
"PS-JA","P 60 min 09h-19h LUN. AU SAM."
"PS-JB","P 60 min 10h30-15h30 LUN. AU SAM."
"PS-JC","P 60 min 07h-19h LUN. AU SAM."
"PS-JE","P 60 min 08h-19h LUN. AU SAM."
"PS-JF","P 60 min 08h-18h LUN. AU SAM."
"PS-JG","P 60 min 09h-16h LUN. AU SAM."
"PS-JI","P 15 min 07h-18h LUN. A SAM."
"PS-JJ","P 02h 08h-15h30 LUN. AU SAM."
"PS-JK","P 02h 09h30-18h LUN. AU SAM."
"PS-JL","P 02h 09h-16h LUN. AU SAM."
"PS-JM","P 02h 09h30-15h LUN A SAM"
"PS-JN","P 60 min 09h-18h LUN.AU SAM."
"PS-JP","P 60 min 09h30-14h30 LUN A SAM"
"PS-JQ","P 15 min 09h30-18h LUN A SAM"
"PS-JR","P 60 min 09h30-16h LUN. AU SAM."
"PS-JS","P 2h 12h-15h30 LUN A SAM"
"PS-JT","P 60 min 09h30-18h LUN. AU SAM."
"PS-JU","P 60 min 09h-15h LUN. AU SAM."
"PS-JV","P 60 min 10h30-14h30 LUN A SAM"
"PS-JW","P 60 min 09h30-14h LUN A SAM"
"PS-JX","P 60 min 12h-16h LUN A SAM"
"PS-JY","P 02h 09h-15h30 LUN A SAM"
"PS-JZ","P 60 min 08h30-18h"
"PS-M","PARENTS SECOURS"
"PS-OB","P 60 min 10h30-18h LUN. AU SAM."
"PS-OG","P 60 min 09h30-15h30 LUN. AU SAM."
"PS-OP","P 60 min 09h-17h LUN. AU SAM."
"PS-OR","P 60 min 10h-18h LUN. AU SAM."
"PS-PB","P 02h 09h-18h LUN. AU SAM."
"PS-PC","P 15 MIN 14h-19h LUN A SAM"
"PS-PD","P 4h 9h-23h LUN AU SAM"
"PT-JA","P 60 min. 09h-17h MARDI, MERCREDI ET VENDREDI"
"PT-JD","P 2h 09h-17h LUN ET MER ET JEU"
"PT-JK","P 60 min 09h-17h LUN. MER. JEU."
"PU-JA","P 60 MIN 09h-17h JEUDI"
"PU-TA","P 03h 07h-18h MER"
"PV-AB","P 60 min 08h-12h LUN A VEN"
"PV-DA","P 15 min 08h-17h LUN. AU VEN."
"PV-DB","P 15 min 07h-18h LUN. AU VEN."
"PV-DC","P 15 min 15h30-18h LUN. AU VEN."
"PV-DD","P 15 min 09h30-17h LUN. AU VEN."
"PV-DE","P 15 min 08h-15h30 LUN. AU VEN."
"PV-DF","P 15 min 09h-16h LUN. AU VEN."
"PV-DH","P 15 min 09h-19h LUN A VEN"
"PV-DI","P 15 min 08h-18h LUN A VEN"
"PV-DJ","P 15 min 08h-10h ET 16h-18h LUN A VEN"
"PV-DK","P 15 min 07h-18h30 LUN A VEN"
"PV-DL","P DEBARCADERE 07h-18h LUN A VEN"
"PV-DM","P 15 min 7h-9h30 LUN A VEN"
"PV-DN","P 15 MIN 07h-16h LUN A VEN"
"PV-DO","P 15 MIN 15h-18h LUN A VEN"
"PV-DP","P 15 min 07h-19h LUN AU VEN"
"PV-DQ","P 15 min 07h-21h30 LUN A VEN"
"PV-DR","P 15 min 7h-10h30 LUN A VEN"
"PV-DS","P 15 min 07h-09h30 LUN A VEN GARDERIE SEULEMENT"
"PV-DT","P DEBARCADERE 06h-09h LUN A VEN"
"PV-JA","P 60 min 09h-15h LUN. AU VEN."
"PV-JB","P 15 min 07h-09h 16h-18h LUN. AU VEN."
"PV-JC","P 15 min 09h-18h LUN. AU VEN."
"PV-JD","P 60 min 10h-15h LUN. AU VEN."
"PV-JE","P 60 min 08h-19h LUN. AU VEN."
"PV-JF","P 60 min 08h-18h LUN. AU VEN."
"PV-JG","P 60 min 09h-16h LUN. AU VEN."
"PV-JH","P 60 min 10h30-15h30 LUN. AU VEN."
"PV-JI","P 02h 09h30-18h LUN. AU VEN."
"PV-JK","P 02h 08h-18h LUN. AU VEN."
"PV-JL","P 02h 08h-19h LUN. AU VEN."
"PV-JM","P 02h 12h-18h LUN. AU VEN."
"PV-JN","P 60 min 09h-18h LUN.AU VEN."
"PV-JO","P 02h 08h-16h LUN. AU VEN."
"PV-JP","P 02h 09h30 A 15h30 LUN. AU VEN."
"PV-JQ","P 15 min 14h30-21h LUN AU VEN ECOLE SEULEMENT"
"PV-JR","P 60 min 09h30-16h LUN. AU VEN."
"PV-JS","P 02h 12h-18h LUN A VEN"
"PV-JT","P 60 min 09h30-18h LUN. AU VEN."
"PV-JU","P 60 min 09h-15h30 LUN. AU VEN."
"PV-JV","P 02h 09h30-17h30 LUN. AU VEN."
"PV-JW","P 02h 8h-17h LUN A VEN"
"PV-JX","P 02h 9h30-16h LUN A VEN"
"PV-JY","P 15 min 07h-09h ET 12h-14h LUN A VEN"
"PV-JZ","P 02h 10h-17h LUN A VEN"
"PV-KA","P 60 min 08h-16h LUN A VEN"
"PV-OB","P 02h 09h-17h LUN A VEN"
"PV-OC","P 60 min 09h30-17h LUN A VEN"
"PV-OF","P 60 min 09h-17h LUN A VEN"
"PV-OG","P 60 min 09h30-15h30 LUN. AU VEN."
"PV-OH","P 02 h 09h30-17h LUN A VEN"
"PV-OI","P 15 min 08h-15h LUN. A VEN."
"PV-OJ","P 60 min 09h-14h LUN. A VEN."
"PV-OL","P 15 min 09h-17h LUN. A VEN."
"PV-OR","P 60 min 10h-18h LUN. AU VEN."
"PV-OS","P 60 min 9h-21h LUN A VEN"
"PV-OT","P 60 min 7h-18h LUN A VEN"
"PV-OV","P 60 min 09h30-14h30 LUN A VEN"
"PV-PA","P 60 min 11h30-19h LUN. AU VEN."
"PV-PB","P 02h 09h-18h LUN. AU VEN."
"PV-PC","P 60 min 12h-16h LUN A VEN"
"PV-QA","P 15 min 07h30-9h ET 14h30-16h30 LUN. AU VEN."
"PV-QB","P 15 MIN 07h-10h ET 15h30-18h LUN A VEN"
"PV-QC","P 15 min 07h-09h30 ET 15h30-18h LUN. AU VEN"
"PV-QD","P 15 MIN 07h30-09h30 ET 15h30-18h LUN A VEN"
"PV-QE","P 15 MIN 07h-09h30 ET 15h-18h LUN A VEN"
"PV-QF","P 15 MIN  8h-9h ET 14h30-15h30 LUN A VEN"
"PV-QG","P 15 MIN   7h-9h30 ET 15h-18h  LUN A VEN  GARDERIE SEULEMENT"
"PV-QH","P 15 MIN 07h-09h30 ET 15h-16h LUN A VEN GARDERIE SEULEMENT"
"PV-QI","P 15 MIN 07h30-09h ET 16h-18h 30 LUN A VEN GARDERIE SEULEMENT"
"PV-QJ","P 15 MIN 08H-10H ET 15H-16H30 LUN A VEN"
"PV-QK","P 15 MIN 09h-10h ET 15h-18h LUN A VEN GARDERIE SEULEMENT"
"PV-QL","P 15 MIN 07h-09h ET 15h-18h LUN A VEN"
"PV-QM","P 15 min 07h-10h ET 15h-18h LUN A VEN"
"PX-AA","PANONCEAU 08h-17h LUN. AU VEN."
"PX-AB","PANONCEAU 1 AVRIL AU 15 OCT."
"PX-AC","PANONCEAU 1 DEC. AU 1 MARS"
"PX-AD","PANONCEAU 1 AVRIL AU 1 DEC."
"PX-AE","PANONCEAU EXCEPTE AUTOBUS SCOLAIRE"
"PX-AF","PANONCEAU 15 AVRIL AU 1 NOV."
"PX-AG","PANONCEAU 1 AVRIL AU 31 OCT."
"PX-AH","PANONCEAU 1 NOVEMBRE AU 15 AVRIL"
"PX-AI","PANONCEAU 1 DEC. AU 1 AVRIL"
"PX-AJ","PANONCEAU 15 MARS AU 15 NOV."
"PX-AK","PANONCEAU 15 AVRIL AU 1er DEC."
"PX-AL","PANONCEAU 15 MAI AU 15 OCT."
"PX-AM","PANONCEAU 15 NOV. AU 15 MARS"
"PX-AO","PANONCEAU 1 JAN. AU 31 DEC."
"PX-AP","PANONCEAU PARKING NO... RENSEIGNEMENTS 872-5989"
"PX-AS","PANONCEAU DEBAR. AUTOBUS SCOLAIRE"
"PX-AT","PANONCEAU  DETENTION SEULEMENT"
"PX-AU","PANONCEAU MAXIMUM 15 min"
"PX-AV","PANONCEAU DE STATIONNEMENT (EXCEPTE VEH DE LA STM)"
"PX-AX","PANONCEAU 20 AOÛT AU 30 JUIN"
"PX-AY","PANONCEAU 1 AVRIL AU 15 NOV."
"PX-AZ","PANONCEAU 15 NOV. AU 1 AVRIL"
"PX-BD","PANONCEAU 1 MAI AU 1 OCT."
"PX-CM","PANONCEAU CAMIONS"
"PX-CS","PANONCEAU CAMIONS SEULEMENT"
"PX-DS","PANONCEAU 09h-17h DIMANCHE"
"PX-EA","PANONCEAU NOIR - EXCEPTE 9h-16h LUNDI ET JEUDI"
"PX-EB","PANONCEAU NOIR - EXCEPTE 9h-17h MERCREDI"
"PX-EF","PANONCEAU NOIR - EXCEPTE 9h-17h JEUDI"
"PX-EG","PANONCEAU - EXCEPTE 09h-17h VENDREDI"
"PX-EH","PANONCEAU NOIR EXCEPTE 16h-19h MAR ET VEN"
"PX-EJ","PANONCEAU NOIR - EXCEPTE 9h-17h LUNDI ET JEUDI"
"PX-EK","EXCEPTE 9h-21h LUN."
"PX-EL","PANONCEAU NOIR - EXCEPTE 9h-17h LUNDI "
"PX-EM","PANONCEAU NOIR - EXCEPTE 9h-17h MARDI "
"PX-ES","PANONCEAU EXCEPTE DEBARCADERE GARDERIE 15 MINUTES"
"PX-ET","PANONCEAU EXCEPTE TITULAIRE DE PERMIS"
"PX-EU","PANONCEAU RESERVE GARDERIE"
"PX-EV","PANONCEAU NOIR - EXCEPTE 9h-17h MARDI  ET VENDREDI"
"PX-EX","PANONCEAU EXCEPTE 07h-19h LUNDI 1 MARS AU 1 DEC."
"PX-EY","PANONCEAU EXCEPTE 07h-19h JEUDI 1 MARS AU 1 DEC."
"PX-FB","PANONCEAU NOIR EXCEPTE 08h-18h LUNDI"
"PX-FC","PANONCEAU NOIR EXCEPTE 8h - 14h  DIMANCHE"
"PX-FL","PANONCEAU NOIR EXCEPTE 5h-8h LUN ET JEU"
"PX-FM","PANONCEAU NOIR EXCEPTE 05h-08h MAR ET VEN"
"PX-HC","PANONCEAU RESERVE HANDICAPE"
"PX-HD","PANONCEAU DEBARCADERE RESERVE HANDICAPE"
"PX-JA","PANONCEAU 09h00 @ 17h00"
"PX-JB","PANONCEAU 09h30-18h LUN. MAR. MERC. SAM. 09h30-21h JEU."
"PX-JC","PANONCEAU 09h-21h"
"PX-JD","PANONCEAU 09h-19h"
"PX-JE","PANONCEAU ""JOURS D'ECOLE"""
"PX-JF","PANONCEAU 09h30-20h"
"PX-JG","PANONCEAU 15h30-24h"
"PX-JH","PANONCEAU 18h-24h"
"PX-JI","PANONCEAU 06h-09h LUN A VEN"
"PX-JJ","PANONCEAU 08h-16h LUN A VEN"
"PX-JK","PANONCEAU 08h-22h"
"PX-JL","PANONCEAU EXCEPTE 09h-17h JEUDI 1 AVRIL AU 1 DEC"
"PX-JM","PANONCEAU 07h-22h30"
"PX-JN","PANONCEAU 09h-16h LUN A VEN"
"PX-JO","PANONCEAU 1 JUIN AU 1 OCT."
"PX-JP","PANONCEAU 08h-20h"
"PX-JQ","PANONCEAU 09h30-16h"
"PX-JR","PANONCEAU 07h-17h LUN. AU SAM."
"PX-JS","PANONCEAU 07h-18h LUN A VEN"
"PX-JT","PANONCEAU 10h-24h"
"PX-JV","PANONCEAU 12h - 24h"
"PX-JW","PANONCEAU 15h - 18h"
"PX-JY","PANONCEAU EXCEPTE USAGERS DE L'ARENA"
"PX-JZ","PANONCEAU EXCEPTE 09h-17h LUNDI 1 AVRIL AU 1 DEC"
"PX-KA","PANONCEAU 07h-15h LUN A VEN"
"PX-LA","PANONCEAU SAMEDI DIMANCHE"
"PX-LB","PANONCEAU  DIMANCHE"
"PX-LS","PANONCEAU LUN. AU SAM."
"PX-LV","PANONCEAU LUN. AU VEN."
"PX-MD","PANONCEAU 1 MARS AU 1 DEC."
"PX-MN","PANONCEAU 1 MAI AU 1 NOV."
"PX-MO","PANONCEAU 1 NOV. AU 1 MAI"
"PX-MP","PANONCEAU 1 SEPT. AU 30 JUIN"
"PX-NB","PANONCEAU PERMIS VALIDE EN PERIODE DE DENEIGEMENT"
"PX-PA","PANONCEAU ""DEUX COTES"""
"PX-PB","PANONCEAU EXCEPTE TAXIS"
"PX-PD","PANONCEAU DEBAR. SEULEMENT"
"PX-PF","PANONCEAU FLECHE A GAUCHE"
"PX-PH","PANONCEAU EXCEPTE PERIODE INTERDITE"
"PX-PI","PANONCEAU PARCOMETRES INCLUS"
"PX-PL","PANONCEAU LIVRAISON SEULEMENT"
"PX-PR","PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS"
"PX-PR-2S","PANONCEAU EXCEPTE VEHICULES MUNIS D'IN PERMIS (2 SECTEURS)"
"PX-PS","PANONCEAU RESERVE DETENTEUR DE PERMIS DE RESIDANTS"
"PX-PS-2S","PANONCEAU RESERVE VEHICULES MUNIS D'UN PERMIS (2 SECTEURS)"
"PX-PV","PANONCEAU LORSQUE STATIONNEMENT PERMIS-PETITES VOITURES"
"PX-PW","PANONCEAU STAT. A ANGLE - LIGNE AU SOL A RESPECTER"
"PX-PX","PANONCEAU PERMIS EN DOUBLE FILE"
"PX-PY","PANONCEAU EXCEPTE VEHICULES MUNIS D'UN PERMIS"
"PX-QA","PANONCEAU 11h-07h"
"PX-SA","PANONCEAU EXCEPTE AUTOBUS"
"PX-TI","PANONCEAU TAXIS INCLUS"
"PX-UB","PANONCEAU EXCEPTE  09-17h MER. 15 MARS AU 15 NOV."
"PX-UC-A","PANONCEAU EXCEPTE 9h-17h MERCREDI, DU 1ER AVRIL AU 1ER DECEMBRE"
"PX-UF","PANONCEAU MERCREDI"
"PX-UG","PANONCEAU LUNDI"
"PX-ZT","PANONCEAU ZONE DE REMORQUAGE"
"PZ-D","RUE BARREE, ECOLIERS EN RECREATION"
"R-AL","\P RESERVE AUTOBUS TOURISTIQUES 2h"
"R-AM","\P RESERVE AUTOBUS TOURISTIQUES 15 min."
"R-AQ","\P RESERVE AUTOBUS TOURISTIQUES 07h-09h 01/05 AU 01/10"
"R-AR","\P RESERVE AIRE D'ATTENTE"
"R-AS","\P RESERVE AUTOBUS 8h00 A 21h00"
"R-AT","\P RESERVE AUTOBUS TOURISTIQUES"
"R-AU","\P RESERVE AUTOBUS"
"R-AW","\P EXCEPTE DEBARCADERE AUTOBUS TOURISTIQUE"
"R-AY","\P EXCEPTE AIRE D'EMBARQUEMENT AUTOBUS TOURISTIQUES"
"R-AZ","P RESERVE AUTOBUS TOURISTIQUE - AIRE D'ATTENTE 60 min de 8h-18h ET 2H de 18h-24h"
"R-BA","\P RESERVE BIBLIOBUS 18h-21h MAR."
"R-BA-A","\P 13h-18h30 JEUDI EXCEPTE BIBLIOBUS"
"R-BH","\P RESERVE BIBLIOBUS 18h-21h JEU."
"R-BO","\P RESERVE BIBLIOBUS 10h-12h SAM."
"R-BQ","\P RESERVE BIBLIOBUS 14h-18h30 MARDI"
"R-BT","\P RESERVE BIBLIOBUS 14h-16h LUNDI"
"R-BV","/P 14h-18h30 VENDREDI EXCEPTE BIBLIOBUS"
"R-BW","/P 14h-18h30 JEUDI EXCEPTE BIBLIOBUS"
"R-BX","\P STATIONNEMENT INTERDIT 14h - 18h30 MERCREDI EXCEPTE BIBLIOBUS"
"R-BY","\P STATIONNEMENT INTERDIT 13h-18h30 MARDI EXCEPTE BIBLIOBUS"
"R-CD","\P RESERVE CORPS DIPLOMATIQUE"
"R-CM","\P EXCEPTE CONSEILLERS MUNICIPAUX"
"R-DG","\P RESERVE GARDERIE 15 MIN."
"R-DP","\P RESERVE TITULAIRES DE PERMIS"
"R-DR","\P EXCEPTE TITULAIRE DE PERMIS 07h-17h LUN A VEN"
"R-EE","\P RESERVE EMPLOYES DE L'EDIFICE"
"R-FC","\P RESERVE FOURGON CELLULAIRE SPCUM"
"R-FI","\P RESERVE FIACRES"
"R-HC","ANNULE - REMPLACER PAR R-TD"
"R-LM","\P RESERVE LOCATAIRES DU MARCHE"
"R-MO","\P RESERVE MOTOS"
"R-MT","\P RESERVE MOTOS 01/04-01/11"
"R-PA","\P RESERVE S3R 14h-18h LUNDI AU VENDREDI"
"R-PB","\P RESERVE S3R 09h-22h"
"R-PD","\P RESERVE S3R 09h-21h"
"R-PD-2S","\P RESERVE S3R 09h-21h  (2 SECTEURS)"
"R-PE","\P RESERVE S3R 09h-21h LUN. AU VEN."
"R-PF","\P RESERVE S3R 09h-23h"
"R-PF-2S","\P RESERVE S3R 09-23h       (2 SECTEURS)"
"R-PG","\P RESERVE S3R 18h-23h"
"R-PH","\P RESERVE S3R 15h-09h"
"R-PH-2S","\P EXCEPTE S3R 15h-09h   (2 SECTEURS)"
"R-PI","\P RESERVE S3R 15h-21h"
"R-PJ","\P RESERVE S3R 17h-23h"
"R-PJ-2S","\P RESERVE S3R 17h-23h  (2 SECTEURS)"
"R-PK","\P RESERVE S3R 15h-23h"
"R-PK-2S","\P RESERVE S3R 15h-23h          (2 SECTEURS)"
"R-PL","\P RESERVE S3R 17h-21h"
"R-PM","\P RESERVE S3R 09h-17h LUN. ET JEU."
"R-PM-2S","\P EXCEPTE S3R 09h-17h LUN ET JEU  (2 SECTEURS)"
"R-PO","\P RESERVE SERVICE DE LA POLICE"
"R-PP","\P RESERVE S3R 09h30-21h"
"R-PQ","\P RESERVE S3R 09h30-16h LUNDI AU VENDREDI"
"R-PR","\P RESERVE S3R 08h30-10h LUNDI AU VENDREDI"
"R-PS","\P RESERVE S3R 09h30-20h LUNDI AU VENDREDI"
"R-PU","\P RESERVE S3R 15h30-21h LUNDI AU VENDREDI"
"R-PV","\P RESERVE S3R 10h30-12h00 LUNDI AU VENDREDI"
"R-PW","\P RESERVE S3R 15h00-18h00 LUNDI AU VENDREDI"
"R-PX","\P RESERVE S3R 09h30-21h00 LUNDI AU VENDREDI"
"R-PY","\P RESERVE S3R 09h-20h LUNDI AU SAMEDI"
"R-PZ","\P RESERVE S3R 16h-20h LUNDI AU SAMEDI"
"R-PZ-2S","\P RESERVE S3R 16h-20h LUN A SAM (2 SECTEURS)"
"R-QA","ANNULE  -  REMPLACE PAR R-PD-2S"
"R-QB","\P RESERVE S3R 09h-19h"
"R-QD","\P RESERVE S3R 09h-21h LUN A SAM"
"R-QD-2S","\P RESERVE S3R 09h-21h LUN A SAM  (2 SECTEURS)"
"R-QF","\P RESERVE S3R 18h30-23h LUN A VEN"
"R-QG","\P RESERVE S3R          (EN TOUT TEMPS)"
"R-QG-2S","\P EXCEPTE S3R EN TOUT TEMPS"
"R-QH","\P RESERVE S3R 09h30-17h30 LUN A VEN"
"R-QI","\P RESERVE S3R 17h30-23h LUN A VEN"
"R-QJ","\P RESERVE S3R 16h-21h LUN A VEN ET 9h-21h SAM -DIM"
"R-QL","\P RESERVE S3R 16h-23h LUN A VEN"
"R-QM","\P RESERVE S3R 9h-23h LUN A SAM"
"R-QN","\P RESERVE S3R 16h-23h LUN A SAM"
"R-QP","\P RESERVE S3R 15h30-23h LUN A VEN"
"R-QR","\P RESERVE S3R 17h-23h LUN A VEN"
"R-QS","\P RESERVE S3R 18h-21h LUN A VEN"
"R-QV","\P RESERVE S3R 08h-21h"
"R-QW","\P RESERVE S3R 09h30-18h"
"R-QX","\P RESERVE S3R 18h30-21h LUN A VEN"
"R-QY","\P RESERVE S3R 09h30-18h30 LUN A SAM"
"R-QZ","\P RESERVE S3R 09h-18h"
"R-RA","\P RESERVE S3R 09h30-23h"
"R-RA-2S","\P RESERVE S3R 09h30-23h     (2 SECTEURS)"
"R-RB","\P RESERVE S3R 17h30-23h"
"R-RB-2S","\P RESERVE S3R 17h30-23h     (2 SECTEURS)"
"R-RC","\P RESERVE S3R 18h30-23h"
"R-RC-2S","\P EXCEPTE S3R 18h30-23h (2 SECTEURS)"
"R-RE","\P RESERVE S3R 18h-23h LUN.AU VEN., 9h-23h SAM.ET DIM."
"R-RF","\P RESERVE S3R 09h-20h"
"R-RF-2S","\P EXCEPTE S3R 09h-20h     (2 SECTEURS)"
"R-RG","\P RESERVE S3R 16h-20h"
"R-RI","\P RESERVE S3R 09h-19h LUN A SAM"
"R-RI-2S","\P RESERVE S3R 09h-19h LUN A SAM  (2 SECTEURS)"
"R-RJ","\P RESERVE S3R 09h30-20h LUN A SAM"
"R-RK","\P RESERVE S3R 16h-21h"
"R-RL","\P RESERVE S3R 16h-23h"
"R-RL-2S","\P RESERVE S3R 16h-23h     (2 SECTEURS)"
"R-RN","\P RESERVE S3R 09h-18h LUN A SAM"
"R-RO","\P RESERVE S3R 15h-21h LUN A VEN"
"R-RP","\P RESERVE S3R 16h-23h LUN A VEN ET 9h-23h SAM ET DIM"
"R-RV","\P RESERVE S3R 09h30-23h LUN A VEN"
"R-RW","\P RESERVE S3R 17h-21h LUN A VEN"
"R-RX","\P RESERVE S3R 09h-18h LUN A VEN"
"R-RY","\P EXCEPTE S3R 9h-23h LUN A VEN"
"R-RY-2S","\P RESERVE S3R 09h-23h LUN A VEN  (2 SECTEURS)"
"R-RZ","\P RESERVE S3R 16h-21h LUN A VEN"
"R-SC","\P RESERVE S3R 16h-21h LUN A SAM"
"R-SD","\P RESERVE S3R 16h-18h LUN A VEN + 09h-23h SAM ET DIM"
"R-SE","\P RESERVE S3R 15h30-23h"
"R-SG","ANNULE  -  REMPLACE PAR R-RA-2S"
"R-SI","\P RESERVE SERVICE D'INCENDIE"
"R-SO","\ EXCEPTE S3R 14h-20h LUN A SAM"
"R-SP","\P RESERVE S3R 09h30-18h LUN A VEN"
"R-SQ","/P RESERVE S3R 9h30 A 21h LUNDI A SAMEDI"
"R-SS","/P RESERVE S3R 07h-23h"
"R-ST","/P RESERVE S3R 12h-20h LUN A SAM"
"R-SU","\P EXCEPTE S3R 6h-18h LUNDI A VENDREDI"
"R-SV","/P EXCEPTE S3R 15h-21h LUN A SAM"
"R-SW","\P EXCEPTE S3R 09h30-23h LUN A SAM"
"R-SX","\P EXCEPTE S3R 17h-23h LUN A VEN, 9h-23h SAM ET DIM"
"R-SY","\P EXCEPTE S3R 08h-17h LUN A VEN"
"R-SZ","\P EXCEPTE S3R 09h-17h  JEUDI"
"R-TA","\P RESERVE TAXIS"
"R-TB","\P RESERVE TAXIS 18h-07h"
"R-TC","\P RESERVE TAXIS 18h30-07h"
"R-TD","\P RESERVE HANDICAPES (PICTO)"
"R-TF","\P RESERVE TAXIS 08h-18h"
"R-TH","\P RESERVE TAXIS 21h-08h"
"R-TJ","\P RESERVE TAXIS 09h30-15h30 LUN A VEN"
"R-TK","\P RESERVE TAXIS 08h-19h"
"R-TV","\P RESERVE DEBARCADERE AUTOBUS TOURS DE VILLE"
"R-TW","\P RESERVE AUTOBUS TOURS DE VILLE"
"R-VA","\P RESERVE VEHICULES DE LA VILLE"
"R-VE","\P RESERVE VISITEURS ET EMPLOYES DE LA VILLE"
"R-VF","\P EXCEPTE VEHICULE ELECTRIQUE EN RECHARGE"
"R-VL","\P RESERVE BICYCLETTE"
"R-VM","\P RESERVE VEHICULES MILITAIRES"
"R-VP","\P RESERVE VEHICULES DU SERVICE DE LA POLICE"
"R-VQ","\P EXCEPTE VISITEURS POSTE DE POLICE"
"R-VR","\P RESERVE CAMPER TENTE ROULOTTE"
"R-VU","\P EXCEPTE VEHICULES D'URGENCE"
"R-WC","\P EXCEPTE S3R 16h-22h"
"R-WE","\P EXCEPTE S3R 18h-21h LUN A VEN  ET  17h-21h SAM ET DIM"
"R-WF","\P EXCEPTE S3R 15h-23h LUN A VEN"
"R-WG","\P EXCEPTE S3R 10h-21h LUN A SAM"
"R-WH","\P EXCEPTE S3R 18h-21h LUN A SAM"
"R-WJ","\P EXCEPTE S3R 15h-23h LUN A SAM"
"R-WK","\P EXCEPTE S3R 18 h 30 A 21 h LUN A SAM"
"R-WP","\P EXCEPTE S3R 9h-17h VENDREDI"
"R-WQ","\P EXCEPTE S3R 09h30-18h30 LUN A VEN"
"R-WR","\P EXCEPTE S3R 09h30-18h30"
"R-WS","\P EXCEPTE S3R 15h-23h LUN A VEN et 9h-23h SAM ET DIM"
"R-WT","/P S3R 08h30-11h LUN A VEN"
"R-WU","\P EXCEPTE S3R 11h-18h LUN A VEN"
"R-WV","\P EXCEPTE S3R 16h-22h LUN A VEN ET 09h-22h SAM ET DIM"
"R-WW","\P EXCEPTE S3R 17H-09H "
"R-WX","\P EXCEPTE S3R 18h30-21h LUN A VEN,  09h-21h SAM et DIM"
